04/24,札幌厚別,1,札幌,2-1,仙台,1
04/24,日産ス,2,横浜Ｍ,5-0,横浜Ｃ,1
04/24,カシマ,3,鹿島,1-1,神戸,0
04/25,アイスタ,4,清水,1-1,湘南,0
04/25,埼玉,5,浦和,3-2,大分,1
04/24,味スタ,6,Ｆ東京,1-2,鳥栖,2
04/24,Ｅスタ,7,広島,1-2,福岡,2
04/24,三協Ｆ柏,8,柏,5-1,徳島,1
04/25,ソユスタ,9,秋田,1-0,水戸,1
04/25,サンアル,10,松本,1-0,群馬,1
04/25,石川西部,11,金沢,1-1,栃木,0
04/25,ＮＤスタ,12,山形,1-0,磐田,1
04/25,Ｃスタ,13,岡山,1-0,北九州,1
